,UNKNOWN,FES,ABL2,BMX,TEC,IGF1R,TYK2,ZAK,STK39,STK24,MST4,MAP4K4,TNIK,SLK,STK10,PAK4,PKMYT1,CSNK1G1,CSNK1G3,VRK1,GSG2,PLK4,TLK1,ADRBK1,ADRBK2,GRK5,PDPK1,RPS6KA1,RPS6KA6,AKT3,STK38L,CDC42BPB,STK32A,CHEK2,DCLK1,PHKG2,CAMK2A,STK33,SNF1LK2,PRKAA1,PRKAA2,STK17A,STK17B,PIM2,PIM3,PIM1,NEK1,NEK2,CAMKK2,STK16,GAK,AAK1,CDK9,CDK2,PCTK2,MAPK8,MAPK13,MAPK3,MAPK7,CDKL1,SRPK1,SRPK2,CLK3,CLK4,DYRK1A,DYRK2,CDC7,TTK,GUCY2D
SB-610251-B,2.385701515,0.12,2.34,0.04,-0.92,-0.01,2.91,0.67,-0.43,-0.68,-1.13,-0.66,0.98,,0.87,0.55,0.25,1.72,0.01,-0.02,2.77,1.07,0.17,0.36,-0.35,0.75,0.09,2.4,2.77,-0.12,-0.08,-0.83,1.75,-0.09,-0.08,-0.04,0.07,0.82,0.71,0,0.5,-0.89,-0.02,0.03,1.25,0.74,-0.51,0.02,-0.24,2.2,2.54,0.12,0.26,-0.34,-0.08,0.99,-0.11,0.18,-0.17,-0.45,1.01,-0.03,-0.97,1.4,1.13,1.67,5.97,0.9,-0.49
SB-614067-R,3.128436113,0.03,0.71,-0.16,0.16,-0.18,0.25,-0.39,-0.22,-0.36,-0.04,0.55,0.93,,3.92,0.2,-0.06,3.01,0.1,-0.13,0.83,0.05,0.23,-0.1,-0.17,-0.35,-0.16,0.3,1.72,0.06,-0.54,-0.93,0.01,0.04,0.15,0.28,-0.02,-0.26,0.61,-0.22,0.14,-0.86,-0.45,-0.61,0.08,-0.02,-0.31,-0.02,0.4,1.31,0.17,-0.06,-0.18,-0.25,-0.11,-0.3,0.03,-0.09,0.1,-0.76,-0.02,0.1,-0.69,0.62,-0.61,-0.04,0.31,0.28,-0.47
SB-633825,2.804306168,-0.4,2.39,-0.28,-0.93,-0.42,-0.14,-0.49,-1.11,-1.18,-0.45,-0.41,4.66,,8.83,0.07,-0.77,2.6,-0.38,0.76,0.42,0.08,-0.6,0.14,-0.42,-0.22,-0.08,-0.12,0.33,-0.4,-0.57,-2.13,5.13,-0.75,-0.18,-0.57,-0.19,0.85,0.4,0.15,1,-1.27,-0.71,-0.36,-0.57,-1.13,-0.19,-0.52,-0.25,0.38,1.39,0.33,-0.47,-0.92,-0.19,0.67,-0.4,-0.34,-0.42,-0.51,-0.57,-0.11,-0.87,-0.88,-0.86,-0.26,-0.57,-0.42,-0.7
SB-675259-M,2.05679786,-0.01,0.25,0.26,0.05,0.25,0.18,0.1,0.41,0.15,0.19,0.06,-0.32,,-0.26,0.42,0.13,0.35,-0.23,-0.31,0.68,1.13,0.25,-0.15,-0.06,-0.29,0.55,0.13,0.28,0.2,0.51,0.66,-0.35,-0.04,0.34,0.32,0.22,-0.16,0.02,0.1,0.68,1.01,2.2,6.13,7.18,6.52,0.15,0.29,-0.06,2.09,0.86,1.03,4.23,6.34,2.74,-0.1,0.16,0.62,0.4,0.66,-0.15,-0.06,0.45,4.91,1.05,-0.29,0.65,1.49,0.01
SB-678557-A,-1.725594179,-0.03,-0.06,0.15,-0.81,-0.37,2.45,-0.4,-0.97,-0.12,0,-0.15,-0.12,-0.43,-0.91,-0.04,1.19,-0.28,-0.06,-0.04,0.28,-0.32,0.56,0.08,0.09,-0.59,-0.35,0.09,0.43,-0.32,0.29,-0.29,-0.31,,-0.27,-0.59,0.14,-0.58,-0.66,0.64,1.71,-0.33,-0.12,1.06,1.56,0.71,-0.36,0.19,-0.25,0.24,-0.71,-0.25,3.48,0.71,2.73,-0.15,-0.37,-0.17,0.25,0.12,-0.21,-0.11,-0.42,2.23,0.07,4.47,-0.8,-0.17,-0.76
SB-682330-A,4.333973637,-0.75,1.13,-0.84,-1,-0.4,0.48,-0.92,-3.66,-1.83,-3.59,-2.25,1.66,0.68,3.61,-0.72,-2.4,2.95,-0.61,-0.07,-0.11,-0.43,-1.93,-0.07,-1.07,1.44,-0.75,0.14,-1,-1.81,-2.12,0.06,-1.41,-0.49,-0.65,-1.61,-0.92,-0.04,-1.07,-1.87,0.63,1.66,-1.98,-1.18,-1.55,-2.4,-0.96,-1.82,0.24,0,1.68,1.04,-1.21,-1.83,-0.54,-0.63,-1.6,-0.35,-1.54,-1.41,-0.42,-0.81,-1.38,-3.36,-3.2,-0.46,0.01,-1.64,-1.42
SB-686709-A,2.161449023,-0.15,-0.1,0.14,-0.38,-0.24,0.31,-0.02,0,-0.32,0.03,-0.12,-0.26,,-0.39,0.09,0.23,-0.02,0.07,-0.29,0.09,0.02,0.25,-0.21,-0.1,-0.68,-0.15,0.04,0.15,-0.03,0.16,-0.87,-0.25,-0.23,0.06,-0.04,0,-0.11,0.46,1.25,1.68,-0.45,0.11,-0.04,1.11,0.05,0.09,0.09,0.26,0.62,-0.13,0.14,4.83,2.21,4.09,-0.15,0.11,0.06,0.59,0.43,-0.24,-0.13,-0.02,6.75,0.16,0.06,0.45,-0.33,-0.3
SB-693162,-1.090945221,-0.15,-0.1,0.14,-0.38,-0.24,0.31,-0.02,0,-0.32,0.03,-0.12,-0.26,,-0.39,0.09,0.23,-0.02,0.07,-0.29,0.09,0.02,0.25,-0.21,-0.1,-0.68,-0.15,0.04,0.15,-0.03,0.16,-0.87,-0.25,-0.23,0.06,-0.04,0,-0.11,0.46,1.25,1.68,-0.45,0.11,-0.04,1.11,0.05,0.09,0.09,0.26,0.62,-0.13,0.14,4.83,2.21,4.09,-0.15,0.11,0.06,0.59,0.43,-0.24,-0.13,-0.02,6.75,0.16,0.06,0.45,-0.33,-0.3
SB-698596-AC,0.527919454,0.17,0.33,0.1,-0.59,-0.08,2.83,0.29,-0.75,0.12,0.7,0.39,0.17,0.86,-0.51,0.17,-0.04,0.06,-0.08,0.04,-0.27,0.43,0.81,0.12,-0.09,-0.23,0.29,0.12,0.22,0.03,-0.15,-0.09,-0.33,,-0.34,-0.48,0.15,-0.29,-0.39,2.39,2.32,-0.54,0.8,2.39,5.59,1.83,-0.52,0.17,1.27,0.85,-0.12,0.01,3.85,2.45,5.43,0.63,-0.39,0.18,0.97,-0.3,0.05,0.04,0.72,7.54,1.08,5.52,-0.58,-0.48,0.02
SB-725317,1.544015367,0.41,0.75,0.51,-0.04,0.05,0.05,-0.75,0.72,1.16,1.81,2.45,2.99,,5.12,2.87,0.79,0.73,0.18,-0.05,1.92,6.74,0.68,-0.28,-0.62,-0.73,2.39,-0.77,-0.55,0.33,0.28,0.26,0.31,0.06,1.72,0.66,2.57,0.79,0.24,1.63,4,1.85,4.5,11.76,8.91,6.97,0.02,0.55,0.65,5.63,2.59,3.79,6.97,7.88,3.42,3.12,2.3,-0.04,5.36,1.72,1.32,1.13,0.96,3.73,0.49,-0.01,1.87,1.96,-0.14
SB-732881,4.732877603,0.25,-0.64,-0.22,-0.71,-0.16,1.57,-1.44,-0.08,0.66,0.85,0.23,0.48,0.27,0.38,0.39,-0.69,0.52,-0.67,0.37,0.1,0.64,1.01,0.58,-0.42,0.9,-0.23,-0.13,-0.3,-0.41,-1.95,1.76,-0.05,-0.2,0.36,-0.5,0.74,0.36,0.82,0.71,2.99,1.41,2.86,8.08,6.65,4.6,-0.58,0.34,0.43,0.41,-0.13,0.4,5.9,4.51,4.23,2,0.23,-0.1,4.91,1.6,0.17,0.1,0.63,5.48,4.65,7.97,-0.29,0.13,-0.42
SB-732941,-0.1259264,0.27,1.99,0.78,-0.57,-0.24,2.17,-0.85,-0.89,-0.15,0.24,2.69,3.52,0.22,2.74,1.53,,0.15,-0.21,1.09,0.07,2.15,0.49,-0.03,0.06,-0.53,0.51,-0.18,0.07,-0.23,0.55,0.36,0.41,,-0.09,0.03,0.47,-0.16,-0.01,1.08,2.83,1.95,0.89,1.2,0.75,0.15,-0.44,0.39,0.26,4.38,0.13,4.95,1.53,3.72,1.66,0.59,-0.16,0.2,0.05,0.1,0.07,-0.14,-0.31,0.46,-0.94,3.16,0.28,0.41,-0.3
SB-734117,1.561237332,0.19,0.12,-0.38,-0.63,-0.25,0.22,-0.62,-0.7,0.16,0.08,0.48,0.56,1.82,2.41,2,-0.61,2.41,0.45,0.62,1.88,4.68,0.97,1.1,0.08,1.25,1.35,0.56,0.16,0.58,1.01,5.19,0.05,-0.14,-1.87,-0.63,1.22,1.03,1.32,0.35,1.98,1.78,4.23,8.92,7.63,8.27,-0.7,0.22,0.37,4.98,0.58,6.79,2.52,1.74,0.82,0.98,-0.39,1,-0.35,0.14,-0.09,-0.15,0.93,8.13,5.68,2.83,2.97,0.52,-0.31
SB-735465,-1.665793514,0.52,1.42,0.56,-0.89,-0.25,1.65,-0.64,-0.55,-0.07,0.64,1.28,3.38,,2.4,1.68,-0.09,0.74,-0.14,1.25,0.33,2.14,0.21,0.44,-0.27,-0.3,0.18,-0.16,0.29,-0.38,-0.69,-1.02,0.45,-0.35,0.09,1.21,0.32,0.26,2.43,1.05,3.38,-0.27,0.13,0.5,0.51,0.45,-0.36,0.05,0.33,4.1,0.32,5.02,1.18,5.4,1.31,0.53,0.88,-0.12,0.62,0.02,0.04,-0.01,-0.82,0.65,0.62,2.03,0.41,1.24,-0.52
SB-735467,2.232893952,0.14,2.25,1.08,-0.87,-0.32,1.39,-1.38,-0.41,0.68,0.55,1.99,3.5,,3.24,1.45,-0.23,0.02,-0.25,1.08,0.58,1.73,0.14,0.3,-0.48,0.12,0.18,-0.36,-0.13,-0.06,-0.14,0.36,-0.45,-0.53,0.3,0.38,0.33,-0.01,0.98,0.95,2.78,2.25,1.62,0.64,0.81,0.29,-0.18,0.49,-0.02,4.7,0.06,4.55,0.6,3.64,1.23,0.72,0.19,-0.37,-0.14,-0.01,0.04,-0.06,-0.41,0.71,1.59,1.65,0.76,1.09,-0.4
SB-736290,-0.140876566,-0.11,0.16,0.07,0.06,0.07,-0.01,-0.45,0.11,-0.25,-0.3,3.01,0.04,-0.36,-0.17,0.26,-0.19,0.59,0.27,-0.23,2.13,1.65,-0.2,0.48,0.16,1.63,0.13,0.23,0.12,-0.27,-0.25,-0.78,-0.57,-0.33,-0.01,-0.41,0.07,-0.07,-0.22,-0.5,-0.02,0.15,6.61,2.88,3.22,3.35,-0.19,-0.42,-0.22,-0.07,-0.35,2.93,0.76,0.46,-0.38,0.27,-0.03,-0.12,-0.26,-0.29,-0.31,-0.13,-0.16,4.59,4.86,3.3,0.6,0.66,-0.15
SB-736302,1.320129827,0.21,0.07,0.21,-0.22,-0.22,-0.08,-0.29,-0.3,0.12,0.06,-2.06,0.23,0.11,1.16,1.18,-0.02,1.47,-0.05,0.19,3.26,4.23,-0.09,1,0.05,2.86,0.93,0.33,0.23,-0.2,1.33,2.98,-0.46,0.35,-0.35,0.15,0.93,0.62,1.14,0.07,0.51,4.29,5.4,4.78,4.9,5.98,-0.31,0.64,0.44,1.42,-0.65,4.85,1.55,-0.18,-0.14,0.47,-0.09,-0.23,-0.19,0.07,0.03,0.15,0.07,4.5,3.52,-3.56,3.7,0.09,-0.2
SB-737198,-0.275428061,0.05,0.49,-0.16,-0.02,-0.11,0.58,-0.03,-0.13,-0.55,-0.02,-1.58,0.05,-0.19,0.56,-0.1,-0.42,0.26,-0.07,0.34,0.13,1.19,0.18,0.42,0.04,0,-0.09,0.37,0.41,-0.33,0.39,-0.83,-0.18,0.02,-0.16,-0.33,-0.14,-0.22,0.4,0.09,0.96,0.18,1.12,0.41,0.91,0.73,-0.08,-0.08,0.13,0.91,0.59,0.81,0.16,-0.15,0.22,0.11,-0.39,0.13,0.12,-0.44,0.09,-0.08,-0.01,0.89,1.01,0.88,2.99,0.5,-0.26
SB-738482,2.63985434,0.14,0.12,0.21,-0.51,-0.88,0.24,-1.86,-0.33,-0.06,0.04,-0.25,1.31,,1.83,0.11,0.4,-0.07,-0.09,0.1,0.32,1.28,-0.07,0.22,-0.78,-0.64,-0.33,0,0.28,-0.13,0.28,-1.32,-0.76,-0.4,0.38,0.39,0.24,-0.25,0.15,0.91,2.87,1.04,1.43,0.2,0.31,-0.02,-0.2,0.55,0.13,2.18,-0.42,1.62,0.39,3.31,0.84,0.06,0.14,-0.37,-0.16,0.26,-0.04,0.06,-0.3,0.07,0.38,0.33,0.18,0.94,-0.52
SB-738561,1.294339386,0.16,-0.06,0.1,-0.01,0.12,0.09,-0.02,0.32,0.23,-0.08,-0.29,-0.11,,-0.4,0.26,-0.07,-0.02,0.08,0.36,0.65,0.05,-0.03,0.17,-0.14,-0.1,-0.11,0.14,0.24,-0.21,0.38,-0.3,-0.41,-0.4,-0.27,-0.08,0.13,0.06,0.06,0.46,0.35,-0.57,-0.12,0.18,0.92,-0.12,0,-0.02,0.18,0.69,-0.15,0.73,0.27,0.32,0.08,0.11,0.01,-0.16,0.04,-0.04,0.06,0.13,-0.36,1.15,-0.41,0.12,0.52,-0.05,-0.27
SB-739245-AC,3.300655759,0.17,2.15,-0.01,-0.37,-0.17,1.46,-0.38,0.57,0.26,1.4,-1.73,0.45,-0.19,0.8,0.11,-0.54,1.19,0.15,0.09,-0.14,1,0.75,0.34,0.01,1.25,-0.1,0.06,0.14,-0.34,-0.39,-1.02,-0.19,0.3,0.88,0.05,1.06,0.59,-1.6,1.71,3.58,3.64,1.03,1.67,2.87,1.52,-0.28,-0.23,1.87,1.61,-0.38,2,2.86,4.1,4.16,1.24,-0.24,0.17,0.57,2.01,0.27,-0.1,0.19,2.66,4.63,4.87,0.43,0.39,-0.49
SB-739452,-2.218949662,0.26,1.09,0.33,-1.28,-0.55,1.41,-0.55,0.18,1.24,0.77,-0.11,-0.61,,0.53,1.13,-0.71,-0.79,-0.07,-2.47,0.33,2.66,0.29,-0.09,-0.97,2.03,0,-0.16,-0.17,1.11,2.3,-0.4,-0.57,0.15,-1.17,0.14,0.28,-0.22,0.52,1.69,2.01,-0.94,0.31,0.91,0.55,0.46,-0.53,1.27,0.08,,0.94,1.61,1.97,5.54,2.58,0.59,-0.04,-0.43,0.26,0.47,-0.99,0.22,-0.43,-0.81,1.18,1.31,0.35,0.4,-0.82
SB-741905,-1.336889859,0.03,0.14,0.28,-0.93,-0.21,0.8,-0.63,-0.21,-0.36,0.29,0.55,1.15,,0.93,1.03,-0.04,0.24,-0.27,0.4,4.08,1.45,0.07,0.36,-0.23,-0.38,0.28,0.15,0.3,-0.41,0.02,-0.58,0.23,-0.24,0.07,0.53,0.1,0.16,0.23,0.8,1.71,1.77,2.4,0.17,0.18,0.08,-0.15,0.03,-0.11,4.54,-0.22,5.89,0.28,1.48,0.22,0.55,0.2,-0.17,-0.05,-0.11,0.13,0.05,-0.41,0.24,0.61,0.48,0.43,0.61,-0.27
SB-742864,-0.604331717,0.37,0.11,0.14,-0.27,0.07,0.17,-0.69,0.58,0.73,1.33,0.08,1.58,,1.72,0.82,-0.07,0.55,0.04,0.46,0.35,2.07,0.55,0.31,-0.33,-0.6,0.88,0,0.38,-0.12,-0.15,0.23,0.04,0.04,-0.39,0.45,0.34,0.2,0.68,1.09,3.45,2.42,1.67,0.14,0.51,-0.17,-0.11,0.27,0.6,4.89,0.39,7.08,0.85,4.35,1.02,1.51,0.46,-0.14,0.18,0.16,0.13,0.16,0.04,0.59,-0.14,-0.03,0.97,1.55,-0.17
SB-742865,0.711282905,1.1,0.59,0.74,0.39,0.96,1.2,-0.9,0.17,-1.35,1.26,,4.3,,2.65,0.72,-0.33,0.06,0.22,0.08,0.46,2.22,0.2,0.03,0.26,-0.44,,0.99,0.52,,0.2,-0.56,0.13,0.35,0.05,0.85,0.67,0.23,0.88,0.93,3.36,1.13,1.67,0.04,0.2,1.03,0.64,0.37,1.21,3.14,-0.45,,-0.24,4.85,1.48,1.47,2.65,0.75,0.16,0.86,0.36,0.74,-0.44,0.16,0.36,0.59,0.97,1.27,0.22
SB-743899,3.352321653,0.34,0.64,-0.2,-0.5,-0.02,0.92,0.13,-0.11,-0.05,0.55,-1.22,0.98,-0.18,0.52,0.91,-0.73,-0.36,-0.08,-0.29,-0.27,0.81,0.25,0.45,-0.17,0.41,0.26,0.57,-0.02,0.1,1.77,-2.13,-0.28,0.69,-0.97,-0.21,0.02,-0.04,-1.5,0.57,1.67,-0.17,0.61,-0.17,0.45,0.28,-0.12,0.7,0.34,2.3,0.57,2.22,2.07,3.7,1.92,-0.11,-0.13,0.12,0.17,0.44,-0.88,-0.06,-0.12,0,1.17,2.2,-0.38,-0.18,-0.59
SB-751148,-0.170776898,-0.06,0.5,-0.08,-0.24,0.03,0.41,-0.75,-0.05,-0.34,-0.22,-1.76,0.19,-0.95,0.15,0.06,-0.26,1.8,-0.08,0.23,2.07,1.84,-0.06,0.39,-0.1,-0.22,-0.26,0.47,0.47,-0.3,-0.03,0.43,0.15,0.28,-0.42,-0.54,0.32,0.03,3.49,-0.33,0.81,0.17,1.35,1.03,1.32,0.95,-0.25,-0.36,-0.05,0.85,0.46,0.63,0.15,1.14,-0.08,0.63,-0.1,0.01,-0.26,-0.5,-0.1,-0.21,-0.4,0.84,0.67,2.41,2.14,0.21,-0.18
SB-751399,2.59455521,0.19,-0.39,-0.08,-0.85,-0.4,-0.56,-0.32,-0.34,-0.4,-0.34,-0.13,0.1,,-0.58,0.27,0.25,-0.32,-0.14,0.06,1.29,-0.12,0.14,0.47,-0.48,0.25,-0.34,-0.28,0.01,-0.2,-0.36,0.06,-0.66,-0.75,0.01,-0.25,0.23,-0.37,0.06,-0.02,0.63,-0.55,1.07,1.1,2.12,2.96,-0.15,0.25,0.09,1.46,-0.25,-0.05,0.4,-0.11,0.2,-0.47,-0.19,-0.34,-0.09,-0.09,-0.03,-0.07,-0.23,1.38,0.84,0.28,0.61,0.36,-0.49
SB-759335-B,-0.143737166,0.08,0.07,0.26,-0.64,-0.19,-0.1,-0.23,-0.68,-0.06,0.04,3.26,0.05,-0.38,-0.35,0.02,-0.75,-0.14,-0.17,0.34,0,-0.44,-0.07,0.02,-0.1,0.34,-0.41,-0.08,-0.11,-0.43,-0.5,-0.5,-0.43,-0.07,-0.33,-0.25,0.16,0.04,-0.61,-0.17,0.22,-0.5,0.38,0.62,-0.09,0.17,-0.29,0.43,0.27,0.03,-0.14,0.07,-0.2,-0.21,-0.27,0.04,-0.2,-0.15,-0.27,-0.03,-0.01,-0.04,-0.27,0.08,-0.34,-2.74,-0.14,0.13,-0.34
SB-772077-B,0.472080247,-0.06,0.28,0.21,-0.19,0.21,0.12,-0.43,0.33,-0.57,-0.21,-1.42,0.1,-0.88,-0.19,0.17,0.07,0.18,0.05,0.31,4.43,1.43,0.03,-0.09,0.16,-0.83,1.12,-0.02,0.22,0.17,0.36,-2.02,-0.1,0.06,0.44,-0.43,0.32,0.37,-1.5,0.31,1.14,6.13,5.61,8.17,10.12,10.24,-0.17,-0.33,-0.16,0.26,-0.14,4.31,0.44,0.05,0.4,-0.18,-0.19,0,-0.24,-0.1,-0.16,0.08,0.05,2.99,-0.23,-0.33,1.24,-0.28,0.09
SB-814597,-2.293700493,0.03,0.23,0.07,-0.82,-0.42,-0.92,-0.22,-0.67,0.4,0.32,-0.4,-0.26,,-0.36,0.29,-0.08,-0.47,-0.12,0.04,0.08,-0.26,0.23,0.39,-0.39,-0.58,-0.35,-0.13,0.24,-0.26,-0.66,-1.5,-0.57,-0.33,0.02,-0.05,0.17,0.01,-0.33,0.15,0.44,-1.15,-0.31,-0.3,0.29,0.31,-0.3,0.18,0.17,0.25,-0.6,-0.28,0.12,-0.35,0.08,0.4,-0.25,-0.36,-0.1,-0.07,0.01,-0.03,-0.57,0.46,0.52,0.02,-0.32,0.62,-0.59
SKF-62604,0.786248924,0.25,0.13,0.09,-0.81,-0.39,-0.51,0.25,-0.09,0.92,0.66,-0.28,0.15,,1.37,0.59,0.07,0.34,-0.27,0.09,0.31,0.97,1.34,0.05,-0.53,1.04,0.16,0.2,0.46,-0.19,-0.67,-1.59,-0.37,0.45,0.3,-0.31,0.89,-0.23,3.72,1.01,1.87,-0.42,-0.39,1.03,0.92,0.27,-0.21,0.09,1.56,2.52,-0.34,1.86,1.01,0.99,0.43,-0.02,-0.21,-0.28,-0.24,-0.15,1.18,0.07,0.15,2.67,1.58,0.35,0.53,0.44,-0.69
SKF-86002-A2,2.009008412,0.3,0.46,0.13,0.17,0.12,-0.09,-0.75,0.37,0.73,-0.62,-1.07,1.33,,-0.48,0.03,0.45,4.75,0.91,-0.45,0.56,0.13,-0.28,-0.12,-0.31,0,-0.19,2.83,4.45,1,-0.7,0.82,0.23,-0.45,0.23,-0.21,0.38,0.02,0.26,-0.03,0.3,-0.69,-0.61,-0.01,0.2,0.37,-0.12,-0.1,0.38,0.15,2.48,-0.25,-0.12,0.16,0.12,2.25,-0.35,-0.14,-0.05,-0.51,-0.14,0.18,-0.2,0.12,0.22,0.09,1.83,0.21,-0.5
SKF-86055,1.727894204,0.01,0.12,0.01,-1.01,-0.43,-0.22,-0.36,-0.5,-0.76,0.15,-0.99,0.22,,-0.12,0.83,-0.14,0.45,-0.1,0.39,1.8,-0.08,0.13,0.39,-0.3,-0.41,-0.24,1.1,1.56,-0.29,-0.45,-1.4,0.61,-0.31,-0.1,-0.13,0.17,0.11,0.33,-0.1,0.39,-0.99,-0.46,0.03,0.38,0.08,-0.38,-0.21,0.05,0.27,0.43,0.58,0.48,-0.22,0.03,0.2,-0.13,-0.11,-0.06,-0.05,0.07,-0.07,-0.54,1.09,-0.02,0.94,2.46,0.83,-0.59
